uOut,rOut_x,rOut_y,rOut_z,g,uIn,TIn,dIn,density,heatCapacity,mu_c,B,T_VF,grid_points,solution_u,solution_N
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.29292929292929293,2.1301129584444825,0.38489785647939745
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.30303030303030304,2.1887413050159994,0.36910940693719785
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.31313131313131315,2.2465176344624913,0.35442475443805566
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.32323232323232326,2.303464769163014,0.3407303544329319
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.33333333333333337,2.3596048363536264,0.3279427742056543
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.3434343434343435,2.4149607108879203,0.3159854460423523
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.3535353535353536,2.469555254072817,0.30478183827999794
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.36363636363636365,2.5234100656662712,0.29426333683200195
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.37373737373737376,2.5765457669370644,0.2843777699780133
8.233729,1.280748,1.390487,1.300741,9.88447,0.145879,584.96502,0.0003,1109.06716,3471,0.313686,2034.31945,233.029122,0.38383838383838387,2.628983194941474,0.27507492925044796
