0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2.5895708,2.4351554,2.3538089,2.2703404,2.1853037,2.0992947,1.9268417,1.8416322,1.7578796,1.5967745,1.5202708,1.4469031,1.3104122,1.2475193,1.1882343,1.1325164,1.0802764,1.031389,0.98570096,0.9032222,0.86605585,0.8313502,0.76857543,0.74015284,0.713486,0.66482925,0.6425713,0.6215352,0.6016151,0.5827163,0.5647544,0.54765254,0.5157687,0.50087315,0.4866106,0.45982385,0.44723147,0.43513387,0.4123276,0.40157783,0.39124006,0.3717445,0.3625607,0.35373932,0.33714595,0.3293583,0.32190067,0.3079488,0.3014442,0.29524642,0.28375384,0.27845,0.27343532,0.26870635,0.26425877,0.2600889,0.25619203,0.24920657,0.24611041,0.24327335,0.2383641,0.23628467,0.23445082,0.23150647,0.230389,0.22950333,0.22841448,0.22820497,0.2282131,0.22887361,0.2295183,0.23036882,0.23267129,0.2341182,0.23575786,0.23960087,0.24179894,0.24417648,0.24673077,0.24945897,0.252358,0.25542447,0.26204813,0.26560003,0.2693073,0.27717775,0.28133434,0.28563574,0.2946596,0.2993774,0.30422723,0.3143165,0.31954983,0.3249055,0.33597365,0.34168088,0.34750015,0.35946465,0.36560506,0.3725297
2.585901,2.431312,2.3498895,2.2663536,2.181259,2.095201,1.9226801,1.8374507,1.7536862,1.592583,1.5160903,1.4427392,1.3062961,1.2434325,1.1841799,1.1284966,1.0762931,1.0274435,0.9817953,0.899399,0.862275,0.82761323,0.7649287,0.7365527,0.70993334,0.66137433,0.63916695,0.61818147,0.5983133,0.5794677,0.5615588,0.54451126,0.5127363,0.4978956,0.48368835,0.45701253,0.44447464,0.43243188,0.4097334,0.3990366,0.38875073,0.36935645,0.36022246,0.35144913,0.33494833,0.327205,0.31978938,0.30591935,0.29945314,0.29329222,0.28186783,0.27659643,0.27161166,0.26691124,0.26249054,0.2583456,0.2544726,0.24752998,0.24445242,0.24163297,0.23675367,0.23468682,0.23286462,0.22993886,0.22882864,0.2279489,0.22686866,0.22666126,0.22667167,0.22733107,0.22797361,0.22882062,0.23111564,0.23255658,0.23418978,0.23801816,0.24020758,0.24257609,0.24512076,0.24783868,0.25072607,0.2537811,0.26038066,0.26391894,0.2676133,0.27545574,0.27959788,0.28388473,0.29287833,0.29758027,0.30241466,0.31247154,0.31768852,0.32302797,0.33406308,0.3397537,0.3455565,0.35748726,0.36361003,0.37051696
2.5822082,2.427447,2.3459494,2.2623475,2.177196,2.09109,1.9185034,1.8332554,1.7494813,1.588382,1.5119019,1.4385686,1.3021759,1.2393432,1.1801238,1.1244763,1.0723109,1.0235003,0.97789294,0.89558065,0.8585013,0.82388353,0.7612917,0.7329631,0.70639247,0.6579327,0.63577616,0.6148428,0.59502745,0.5762349,0.5583804,0.541387,0.5097221,0.4949373,0.4807859,0.45422053,0.44173813,0.42975014,0.4071594,0.39651603,0.38628274,0.3669901,0.35790515,0.3491797,0.33277124,0.32507193,0.31769937,0.3039098,0.29748172,0.29135725,0.28000104,0.27476066,0.26980606,0.26513407,0.26073936,0.25661945,0.25277025,0.24586886,0.2428096,0.2400071,0.23515728,0.23310304,0.23129159,0.22838351,0.22728059,0.22640648,0.22533411,0.22512889,0.22513956,0.22579789,0.22643816,0.22728235,0.22956842,0.23100376,0.2326299,0.2364428,0.23862338,0.2409822,0.24351707,0.2462239,0.24910039,0.25214332,0.25871772,0.26224327,0.26592365,0.27373785,0.27786553,0.28213662,0.29110008,0.29578617,0.3006048,0.31062943,0.31582993,0.32115278,0.3321538,0.33782768,0.34361315,0.35550988,0.36161637,0.36850375
2.5784922,2.4235606,2.3419893,2.2583218,2.1731143,2.0869622,1.9143126,1.8290465,1.7452643,1.5841724,1.5077052,1.4343922,1.2980523,1.235251,1.1760668,1.120456,1.0683293,1.0195599,0.9739939,0.8917687,0.85473394,0.8201628,0.7576647,0.72938436,0.70286304,0.65450495,0.63240004,0.6115193,0.5917573,0.57301897,0.5552184,0.5382806,0.50672716,0.49199784,0.47790194,0.45144856,0.43902206,0.42708904,0.40460694,0.39401603,0.3838356,0.3646446,0.3556093,0.34693134,0.33061478,0.3229597,0.31562924,0.30192012,0.29552913,0.2894411,0.27815276,0.27294356,0.26801828,0.26337373,0.25900573,0.25491026,0.2510842,0.24422374,0.24118266,0.23839673,0.23357591,0.23153353,0.22973278,0.22684202,0.22574508,0.22487643,0.22381073,0.22360724,0.22361898,0.22427484,0.22491238,0.22575328,0.22802949,0.22945863,0.23107815,0.2348752,0.23704591,0.23939544,0.24191952,0.24461567,0.24748096,0.25051177,0.25706026,0.26057237,0.2642389,0.27202323,0.27613673,0.28039274,0.2893251,0.29399446,0.29879728,0.3087888,0.31397265,0.31927872,0.33024612,0.33590308,0.34167123,0.3535338,0.35962284,0.3664909
2.5747526,2.4196522,2.3380084,2.254277,2.1690147,2.0828178,1.9101073,1.8248258,1.7410362,1.5799536,1.5035018,1.4302094,1.293925,1.2311573,1.172009,1.1164365,1.0643494,1.0156213,0.97009873,0.88796246,0.8509738,0.81644905,0.7540475,0.7258167,0.69934565,0.65109044,0.62903804,0.6082114,0.5885032,0.5698191,0.5520742,0.53519183,0.5037508,0.48907816,0.47503847,0.44869733,0.4363265,0.42444855,0.40207553,0.39153802,0.38140953,0.36232024,0.3533333,0.34470412,0.32847893,0.3208674,0.31357926,0.29994982,0.29359698,0.28754428,0.27632263,0.27114433,0.26624906,0.26163176,0.25728926,0.2532183,0.2494143,0.24259427,0.23957095,0.23680115,0.23200771,0.2299774,0.22818688,0.22531223,0.22422203,0.22335836,0.22229862,0.22209641,0.22210851,0.22276181,0.22339669,0.22423336,0.22649929,0.2279217,0.22953385,0.23331425,0.23547587,0.23781478,0.24032831,0.24301305,0.2458665,0.24888492,0.25540793,0.25890568,0.26255825,0.27031326,0.2744117,0.27865207,0.28755268,0.292206,0.29699257,0.3069502,0.31211814,0.31740683,0.32833973,0.33397937,0.33973026,0.3515581,0.35762972,0.36447847
2.5709906,2.4157236,2.3340075,2.2502131,2.164897,2.0786562,1.905888,1.820592,1.7367964,1.5757262,1.4992911,1.4260206,1.2897944,1.2270615,1.1679504,1.1124175,1.0603714,1.0116867,0.9662079,0.88416296,0.847221,0.8127445,0.75044084,0.72226036,0.6958405,0.6476899,0.62569153,0.6049182,0.5852648,0.5666363,0.5489472,0.5321211,0.5007931,0.4861771,0.4721942,0.44596648,0.43365127,0.42182875,0.3995641,0.38908035,0.37900412,0.3600167,0.351079,0.34249702,0.32636395,0.31879562,0.31154943,0.29799938,0.29168364,0.28566676,0.27451092,0.26936328,0.26449674,0.25990713,0.25559038,0.25154275,0.24776113,0.2409809,0.23797473,0.2352207,0.230454,0.22843534,0.22665462,0.22379565,0.22271124,0.22185168,0.22079828,0.22059694,0.2206083,0.22125801,0.22188973,0.22272232,0.22497731,0.22639337,0.22799835,0.23176047,0.2339122,0.23624134,0.23874342,0.24141711,0.24425793,0.24726418,0.25376013,0.2572435,0.26088208,0.2686077,0.27268994,0.27691567,0.2857831,0.2904204,0.29519004,0.30511457,0.31026453,0.31553668,0.3264346,0.3320565,0.33779055,0.34958297,0.355637,0.3624664
2.5633984,2.407802,2.3259459,2.2420292,2.1566095,2.0702853,1.8974088,1.8120875,1.7282847,1.5672481,1.49085,1.4176283,1.2815257,1.2188656,1.1598328,1.1043822,1.0524228,1.0038269,0.9584395,0.8765836,0.8397386,0.80536103,0.7432598,0.71518266,0.68886745,0.64093095,0.61904216,0.59837914,0.57883734,0.56032175,0.5427459,0.52603376,0.4949348,0.48043346,0.4665656,0.44056457,0.42836237,0.4166515,0.39460558,0.3842286,0.37425703,0.35547233,0.34663227,0.33814573,0.3221938,0.31471205,0.30754963,0.2941568,0.28791484,0.28196824,0.27094322,0.26585546,0.2610455,0.256509,0.2522423,0.24824136,0.24450311,0.23779964,0.2348271,0.23210391,0.2273891,0.22539169,0.22362953,0.2207999,0.21972579,0.21887493,0.2178295,0.21762916,0.21763927,0.21828008,0.2189047,0.21972793,0.22195834,0.22336009,0.22494861,0.22867426,0.23080632,0.23311353,0.23559263,0.23824197,0.2410582,0.24403837,0.2504789,0.25393465,0.25754303,0.26520723,0.2692584,0.27345136,0.28225327,0.28685763,0.29159284,0.30144885,0.306564,0.31180093,0.3226286,0.328215,0.3339131,0.34563458,0.35165274,0.35844302
2.5595686,2.4038105,2.3218856,2.2379093,2.1524398,2.0660753,1.8931491,1.8078177,1.7240133,1.5629972,1.48662,1.4134245,1.2773883,1.2147661,1.1557742,1.100367,1.0484524,0.9999027,0.9545629,0.8728048,0.83601034,0.80168283,0.73968613,0.71166205,0.6854009,0.6375738,0.61574,0.59513354,0.5756489,0.55718964,0.5396717,0.5230174,0.49203432,0.4775908,0.46378082,0.43789482,0.42574883,0.41409385,0.3921576,0.3818338,0.37191498,0.35323128,0.34443966,0.33600062,0.32013977,0.31270084,0.30557966,0.29226467,0.28605884,0.28014714,0.26918608,0.26412833,0.25934604,0.25483555,0.2505931,0.24661535,0.24289793,0.23623207,0.23327574,0.23056701,0.22587708,0.22388992,0.2221368,0.21932021,0.21825117,0.21740359,0.216362,0.21616071,0.21616998,0.21680528,0.21742555,0.21824396,0.22046143,0.22185528,0.22343504,0.22714227,0.22926334,0.23155874,0.23402688,0.23666343,0.23946622,0.24243337,0.24884555,0.25228643,0.25587955,0.26351348,0.2675481,0.2717249,0.2804936,0.2850797,0.28979814,0.29961923,0.30471697,0.30993554,0.3207277,0.326296,0.33197552,0.343661,0.34966135,0.35643154
2.5557163,2.3997989,2.3178062,2.2337716,2.1482532,2.0618505,1.8888773,1.8035364,1.719732,1.5587394,1.4823838,1.4092159,1.2732489,1.2106664,1.1517166,1.0963539,1.0444856,0.9959831,0.9506918,0.86903375,0.83229005,0.7980152,0.7361236,0.7081535,0.68194705,0.6342311,0.61245394,0.5919041,0.57247686,0.5540758,0.5366153,0.5200193,0.48915333,0.47476828,0.461016,0.43524474,0.42315602,0.41155666,0.38973022,0.3794598,0.36959344,0.35101062,0.34226838,0.33387598,0.31810552,0.31070942,0.30362922,0.29039103,0.28422198,0.27834454,0.2674477,0.26241833,0.257664,0.25317952,0.2489613,0.24500564,0.24130931,0.23467958,0.23173904,0.22904447,0.22437873,0.22240114,0.22065651,0.2178528,0.21678808,0.2159436,0.21490467,0.21470302,0.21471125,0.21534017,0.21595597,0.21676856,0.21897286,0.22035843,0.22192982,0.22561663,0.2277272,0.23001108,0.23246622,0.23509082,0.23788068,0.24083334,0.24721733,0.2506435,0.25422084,0.26182273,0.26584122,0.27000138,0.2787362,0.28330547,0.28800604,0.29779217,0.3028706,0.30807197,0.31882787,0.32437763,0.33003935,0.34168792,0.34767026,0.3544199
2.5479448,2.3917143,2.3095899,2.225442,2.1398306,2.0533543,1.8802953,1.7949406,1.7111402,1.5502036,1.4738963,1.4007875,1.2649664,1.2024666,1.1436055,1.0883349,1.0365617,0.98815775,0.9429667,0.8615149,0.8248771,0.7907089,0.7290348,0.70117486,0.67508,0.6275909,0.6059288,0.585495,0.56618404,0.5479,0.53055775,0.5140794,0.4834491,0.46918172,0.45554686,0.4300065,0.41803145,0.40654516,0.38493842,0.37477505,0.36501324,0.34663224,0.3379869,0.32968882,0.31409684,0.3067855,0.29978737,0.2867024,0.28060418,0.27479476,0.26402327,0.2590517,0.25435123,0.24991727,0.24574551,0.24183461,0.23817784,0.23161927,0.22870973,0.2260429,0.22142252,0.21946388,0.21773517,0.2149548,0.21389729,0.2130582,0.21202251,0.21181935,0.21182299,0.21243805,0.21304318,0.21384433,0.21601906,0.2173878,0.21894029,0.2225864,0.22467396,0.22693416,0.22936481,0.23196262,0.23472536,0.23765048,0.24397495,0.24736992,0.25091624,0.25845304,0.26243782,0.26656392,0.27522963,0.2797638,0.28442952,0.29414222,0.2991856,0.3043499,0.31503206,0.3205452,0.32617006,0.33774418,0.34368944,0.35039836
