0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10.452555,4.7079983,4.0292645,3.583559,3.220564,2.8950214,2.3269863,2.0939922,1.9047298,1.6674175,1.6100445,1.5801487,1.5615597,1.5586491,1.5548954,1.5485821,1.5387592,1.5248356,1.5063953,1.4548016,1.4213505,1.3827534,1.2909336,1.2384892,1.1825047,1.0634899,1.0026588,0.9426365,0.8847599,0.83036613,0.7806454,0.7366009,0.6680355,0.6439495,0.6263828,0.6084366,0.60637474,0.6075916,0.6156235,0.62043,0.6245575,0.6272392,0.62304306,0.6100426,0.43421745,0.06892967,0.5018635,0.30025673,0.21928596,0.1924839,0.18519783,0.1659069,0.13503838,0.110284805,0.11479759,0.1467228,0.17979622,0.19450188,0.1834774,0.16971397,0.14719582,0.13988686,0.13455772,0.12677956,0.12302971,0.118745804,0.10734749,0.09947395,0.089258194,0.057561874,0.035348892,0.0113277435,-0.021474838,-0.017541885,0.00532341,0.080106735,0.0902462,0.04784584,-0.054094315,-0.19706154,-0.3492489,-0.4821453,-0.634325,-0.6491718,-0.6285839,-0.50722694,-0.41936684,-0.32108116,-0.111269,-0.0067424774,0.09406853,0.27765083,0.3584652,0.4330616,0.6032047,0.76872826,1.089613,2.0077076,2.104967,2.1465588
9.904741,4.675211,4.0261784,3.5940418,3.2402363,2.921957,2.3611774,2.1264439,1.9316273,1.6766224,1.6107044,1.5742855,1.5487843,1.5443401,1.5395107,1.5322514,1.5214138,1.5063152,1.4865704,1.4320889,1.3971615,1.3571835,1.2632008,1.210165,1.1540127,1.0362492,0.9768963,0.91889954,0.86356544,0.8121166,0.76563454,0.72496223,0.66291237,0.6416836,0.6265583,0.6119251,0.6106491,0.6120529,0.6188946,0.6225319,0.6252804,0.62488556,0.6188812,0.6029873,0.39291573,0.06563759,0.6026745,0.30796623,0.23114204,0.20388222,0.19004631,0.17024422,0.14249611,0.12420082,0.13660622,0.17594337,0.21529579,0.23765755,0.22766304,0.21339989,0.18717766,0.1774311,0.16964531,0.1574192,0.15180397,0.14594841,0.13222313,0.12362862,0.112989426,0.0818882,0.061120987,0.03976631,0.017995834,0.031072617,0.06552315,0.16594505,0.18652916,0.15168953,0.055734634,-0.08111,-0.22633553,-0.3521633,-0.49455452,-0.5080013,-0.48854637,-0.37566185,-0.29431343,-0.20347023,-0.010320663,0.08540535,0.17718315,0.34097862,0.4105091,0.47307396,0.63105583,0.81633186,1.1750622,1.9303951,1.967432,2.0874882
9.415094,4.639139,4.0174427,3.598051,3.2531528,2.942316,2.3905582,2.15563,1.9569073,1.68643,1.612196,1.5689983,1.5357151,1.5294285,1.5233707,1.5150509,1.5031338,1.4868565,1.4658108,1.408514,1.3722095,1.3309803,1.2351933,1.1817875,1.1257343,1.0097294,0.95207787,0.8963146,0.8436451,0.7952137,0.7519665,0.71458244,0.65873146,0.64011955,0.62716484,0.61525154,0.61444473,0.61575127,0.621006,0.6233864,0.6247406,0.6214371,0.61369705,0.59472847,0.34667397,0.1071682,0.6710987,0.31393623,0.2411251,0.21343422,0.19403648,0.17399788,0.14909935,0.1364193,0.15548515,0.2010479,0.24588585,0.2755909,0.2668972,0.2525425,0.22353172,0.21178246,0.20192528,0.1858387,0.17856026,0.1712513,0.15528679,0.14591026,0.13474846,0.10379219,0.08412361,0.06505394,0.05324745,0.07491875,0.12013817,0.2439022,0.27322197,0.2442379,0.1527462,0.021074295,-0.11758995,-0.23648262,-0.36850166,-0.3799305,-0.36086464,-0.2546711,-0.17892647,-0.09468651,0.08346748,0.17102242,0.25411034,0.39782906,0.45537376,0.50533485,0.6569233,0.86984825,1.2569637,1.8245716,1.8630276,2.0668583
8.977091,4.6007786,4.004122,3.596552,3.2601452,2.9566898,2.415205,2.1813526,1.9802113,1.6965656,1.6144009,1.5642948,1.5224934,1.5140629,1.5065441,1.497057,1.4840069,1.4665279,1.4441891,1.3842144,1.346632,1.3042736,1.2070675,1.1535168,1.0978031,0.98402786,0.9282894,0.87491035,0.82502556,0.77965355,0.73960304,0.7054157,0.6553669,0.6391411,0.628067,0.6182518,0.61761856,0.6185608,0.6218834,0.62295914,0.62296677,0.6169777,0.6075592,0.5852871,0.2967472,0.19767952,0.7099285,0.31848335,0.2494564,0.22137642,0.19731331,0.177248,0.15496635,0.14712334,0.17175865,0.22253609,0.27215767,0.30893517,0.3017788,0.28769112,0.25672722,0.24336433,0.23177528,0.21233177,0.20357323,0.19492912,0.17677498,0.16654778,0.15475655,0.12351799,0.10463524,0.08743477,0.08472252,0.11438179,0.1696949,0.31441307,0.35073662,0.3257656,0.23736382,0.11008263,-0.02239418,-0.13437843,-0.25545692,-0.26444817,-0.2450428,-0.14395714,-0.07290459,0.0056171417,0.1702671,0.25016594,0.3247738,0.44771004,0.49243355,0.52949333,0.6834965,0.92996025,1.3235149,1.7177258,1.7962513,2.0735912
8.585108,4.560999,3.9871883,3.5905018,3.2620602,2.965765,2.435278,2.2035007,2.0012417,1.706747,1.6171436,1.560175,1.5092144,1.4983311,1.4891605,1.4783688,1.464117,1.4454365,1.4218159,1.3592701,1.3205242,1.2772045,1.1789532,1.1254902,1.0703449,0.9592514,0.90560913,0.85474586,0.80770683,0.7653942,0.7284756,0.6973629,0.6527157,0.63858986,0.62911797,0.62078094,0.62002945,0.62036896,0.6214943,0.62128067,0.62000656,0.61159515,0.6005459,0.57465935,0.24578285,0.33003426,0.72509193,0.32185936,0.25636864,0.22795296,0.19999504,0.18006325,0.16015816,0.15648842,0.18574333,0.24080467,0.29459953,0.33820152,0.33281136,0.31933022,0.28714943,0.2725277,0.25951576,0.23718452,0.22708702,0.21720314,0.1968975,0.18577003,0.1732235,0.14127159,0.12285805,0.1071949,0.112737656,0.14986229,0.21459007,0.37785912,0.41943932,0.39665794,0.31002235,0.18640709,0.059827805,-0.045244217,-0.15488243,-0.16089821,-0.14059258,-0.043035507,0.024137497,0.0977726,0.25024605,0.32283592,0.38902855,0.49002647,0.5211506,0.5455456,0.7139225,0.99411964,1.3626041,1.6292744,1.762682,2.0981655
8.234053,4.5205593,3.967371,3.5806103,3.2595615,2.9701443,2.4510326,2.2221165,2.0198078,1.7166424,1.6202335,1.5565853,1.4960041,1.4823551,1.4712925,1.4590855,1.4435635,1.4236507,1.3987865,1.3338184,1.2940159,1.2498722,1.1509876,1.0978374,1.0434971,0.9354973,0.8840866,0.8358326,0.7916775,0.75239754,0.71853065,0.6903248,0.6506405,0.6383381,0.6301651,0.62267685,0.62154007,0.6210518,0.61982346,0.6183586,0.61593246,0.6053829,0.5927334,0.5628071,0.19838142,0.4859562,0.72322655,0.32426262,0.26202965,0.2333355,0.20216942,0.18250465,0.16475487,0.16465569,0.19766426,0.25623512,0.31365395,0.36387444,0.36044502,0.34786415,0.3151455,0.2995777,0.2854061,0.26060295,0.24929237,0.2382679,0.2158413,0.20374489,0.19031715,0.15722847,0.13901329,0.12454796,0.13752937,0.18163109,0.25515938,0.43455696,0.4795704,0.45728874,0.3712139,0.25065422,0.12979317,0.03172493,-0.06603813,-0.068632126,-0.04684639,0.048582077,0.11264229,0.1821537,0.32353783,0.38902092,0.4466381,0.5242138,0.5410633,0.5540638,0.75084114,1.0556011,1.3679142,1.5674992,1.754343,2.1333714
7.6366444,4.4399166,3.9219952,3.5521908,3.244051,2.9671307,2.4707203,2.2490826,2.0492306,1.7347088,1.62673,1.5506077,1.4700031,1.4500523,1.4345913,1.4191074,1.4008732,1.3784275,1.3511295,1.2818012,1.240324,1.1950283,1.0960331,1.0441456,0.99201393,0.891243,0.84464455,0.8017864,0.7633953,0.72997475,0.70181465,0.6789017,0.64764404,0.6381111,0.63157654,0.6239815,0.6213455,0.6187401,0.6126785,0.60902786,0.60474396,0.5908489,0.57494164,0.535223,0.14482689,0.7744694,0.69034004,0.32676125,0.27023888,0.24115944,0.20532417,0.18645668,0.17243004,0.17789268,0.21628761,0.27982903,0.34306526,0.40590096,0.4069233,0.3969555,0.36494637,0.3482914,0.33254814,0.30389214,0.29053688,0.27742195,0.2507801,0.23653984,0.22098732,0.18442726,0.16573906,0.15271568,0.17861748,0.23546028,0.32466698,0.5288677,0.5752201,0.54906654,0.46120644,0.34565163,0.23612785,0.15223503,0.07955742,0.0849514,0.11119652,0.20610619,0.26593208,0.3289318,0.45046806,0.5016384,0.5407238,0.5660534,0.5545292,0.554533,0.8442745,1.1333294,1.2985249,1.518156,1.7821369,2.21871
7.382887,4.4005985,3.897581,3.5348911,3.2322483,2.9608517,2.475317,2.2577496,2.0600643,1.7424297,1.6297474,1.5479984,1.4573345,1.4339008,1.4159412,1.3986111,1.3789043,1.3551884,1.3267384,1.2555027,1.2133808,1.167757,1.069273,1.0183125,0.967577,0.87083817,0.82676125,0.7866154,0.7510433,0.7204037,0.69486046,0.674284,0.64642715,0.63780975,0.6316128,0.6231117,0.6194382,0.6156273,0.60728073,0.60276985,0.5978451,0.5827122,0.56505394,0.5193348,0.15898705,0.8722706,0.6670704,0.32706642,0.27304268,0.24386024,0.20642662,0.18805122,0.17560005,0.18317986,0.22336769,0.28853035,0.35404396,0.422884,0.42638206,0.41805077,0.3872013,0.37038612,0.35416603,0.32409096,0.30986595,0.29579735,0.2670498,0.2516346,0.23482704,0.19594765,0.17661095,0.16389656,0.1953907,0.25803947,0.35424232,0.5669193,0.6112118,0.5809345,0.4911213,0.377882,0.27404213,0.19748497,0.13796425,0.14784431,0.17698479,0.27318764,0.33168983,0.39212608,0.5042248,0.54774284,0.5764446,0.57305336,0.54940605,0.5517483,0.89245415,1.1375027,1.2492313,1.5195484,1.8063107,2.2664127
7.1548405,4.3623447,3.8725376,3.5160885,3.2183514,2.9520054,2.4768696,2.2635212,2.068369,1.7490749,1.632391,1.545496,1.4449139,1.4178448,1.3972073,1.3779125,1.3566799,1.3316746,1.3020992,1.2291317,1.1865253,1.1407299,1.04315,0.9933071,0.94410896,0.8516159,0.8100834,0.77264977,0.73980904,0.7118168,0.6886921,0.6702213,0.6451855,0.63715744,0.63098145,0.62104416,0.6162071,0.6111603,0.6007576,0.5955906,0.59021187,0.5741215,0.55454445,0.5018902,0.21365547,0.9312954,0.64250374,0.32686806,0.2751255,0.24593163,0.20728874,0.18943977,0.17840004,0.18770027,0.2291584,0.29546165,0.36288643,0.43754387,0.4436245,0.4371624,0.40794945,0.3911953,0.37470436,0.34348106,0.32848167,0.3135357,0.28265572,0.26599312,0.24783134,0.20620537,0.18599129,0.17330742,0.20993233,0.27811623,0.38066292,0.59913445,0.63957405,0.604002,0.51172066,0.40091896,0.3031292,0.23397255,0.18795586,0.20258522,0.23493004,0.33323097,0.39081383,0.44896126,0.5514736,0.58670235,0.6039715,0.57086754,0.53847694,0.551672,0.931757,1.1210728,1.2059269,1.5305614,1.832037,2.3207455
6.7655354,4.2901516,3.8222332,3.475851,3.1861439,2.9283924,2.4721546,2.2671642,2.0779018,1.7587185,1.6359768,1.5402927,1.420805,1.3861942,1.3597965,1.336237,1.3117542,1.2841702,1.2524891,1.176691,1.1335354,1.087923,0.9931507,0.94600487,0.90029716,0.8167343,0.78029823,0.74809456,0.72037315,0.69716454,0.67825127,0.66319084,0.6419277,0.6340828,0.62701035,0.61296463,0.6056175,0.59825516,0.58476067,0.5789051,0.57325554,0.5558529,0.5317097,0.46182442,0.45311546,0.9524975,0.5942936,0.32522774,0.27752113,0.24848366,0.20845604,0.19170952,0.18302345,0.19476128,0.23748207,0.30477333,0.37501335,0.46068382,0.47228432,0.47010994,0.44548607,0.42946053,0.4129963,0.3803234,0.36402702,0.3474598,0.31228828,0.29289436,0.2716236,0.22339058,0.20074654,0.18750954,0.23326302,0.31162834,0.42517662,0.64678764,0.67453194,0.6253605,0.52807045,0.42289925,0.33799553,0.28440285,0.266222,0.2908802,0.33041954,0.4346943,0.49106407,0.54486656,0.6260624,0.641901,0.6328411,0.54260445,0.5108509,0.5733433,0.9615078,1.0618649,1.156004,1.5642223,1.8802052,2.4812794
