epoch,Adam0.1,Adam0.01,Adam0.001,Adam+LBFGS0.1,Adam+LBFGS0.01,Adam+LBFGS0.001,RMSProp+LBFGS0.1,RMSProp+LBFGS0.01,RMSProp+LBFGS0.001
1,4.039588260998165,4.112545057116086,6.731440958559037,4.039588260998165,4.112545057116086,6.731440958559037,4.553380031343819,3.34306531750795,5.463766760537382
2,3.092545868118328,3.667481823976746,6.054110982504735,3.092545868118328,3.667481823976746,6.054110982504735,10.95105844491226,3.2961261574888456,5.4609459925289325
3,3.883481545518358,3.497208406726148,5.691521346633258,3.883481545518358,3.497208406726148,5.691521346633258,5.796349501515053,3.2752897305195834,5.458007034958566
4,4.516891890432309,3.3530424556862126,5.455682716638744,4.516891890432309,3.3530424556862126,5.455682716638744,4.821264348644573,3.265382927692451,5.454945061752424
5,4.655518278813354,3.1326701886368307,5.286975034811021,4.655518278813354,3.1326701886368307,5.286975034811021,4.770766400782907,3.260673867698291,5.451755149467526
6,4.529371816687037,2.799054639644148,5.1591406404004525,4.529371816687037,2.799054639644148,5.1591406404004525,4.70199549013889,3.258468699530027,5.44843313132869
7,4.237629494472982,2.413820428057225,5.058448219018158,4.237629494472982,2.413820428057225,5.058448219018158,4.665403484188603,3.2574405536800235,5.4449742665854535
8,3.91615416044443,2.287624336898008,4.976891247257416,3.91615416044443,2.287624336898008,4.976891247257416,4.649367533589485,3.2569400233622945,5.441374569236458
9,5.089694318111625,2.564837966642425,4.909433231187272,5.089694318111625,2.564837966642425,4.909433231187272,4.641883913122491,3.2566619325438824,5.437629425131961
10,4.636383831812614,2.7851507386810965,4.852721665471469,4.636383831812614,2.7851507386810965,4.852721665471469,4.638720139193608,3.2564695613663,5.433734230553726
11,4.857696524054028,2.778509658847823,4.804423176981999,4.857696524054028,2.778509658847823,4.804423176981999,4.635626449468466,3.2563058587888984,5.4296852642542985
12,11.424661631256743,2.580274176432812,4.762857376411997,11.424661631256743,2.580274176432812,4.762857376411997,4.642321779219158,3.2561474474702847,5.425477543513313
13,6.489287450716851,2.267596675031056,4.726775861593268,6.489287450716851,2.267596675031056,4.726775861593268,4.653268158267029,3.255986390147693,5.421107401790384
14,6.15551308116401,2.051912315953803,4.695230061580464,6.15551308116401,2.051912315953803,4.695230061580464,4.636137355238375,3.2558198714587077,5.4165699808240095
15,5.1676271909838345,2.17462273589315,4.667482888077307,5.1676271909838345,2.17462273589315,4.667482888077307,4.625225075581109,3.2556466163357114,5.411861698244543
